Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
nuk ing,poupar,nuk ing (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nuk, nung, annem",não,"nuk, nũ, annem",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nukankan, iokeréiun-ioká","leque de penas amarelas, a cauda do japu","nucangcan, jokeräiun-ioká",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"nu-kinhap, nu teik, minhók- minhók",mastigar,"nu-kinháp, nu teik, minhók- minhók",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nuknhá,"dorso, as costas",núkniah,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-knhung,coruja pequena,nu-knúng,kn pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-kron,aspirar,nu-k’ron,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-ku,apagar,nucú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-kuam,castigar,nu-cúam (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"numat, thon",mato,"numat, tchon’",o primeiro é vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
numaun,"limpar, esfregar",numaun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-mé,botoque da orelha,nu-mä,antes do n o g quase não se ouve,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"nu-meik, kuku- jun",sonhar / sono,"numeik, cucu- june",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-merang,lamber,númerang,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-merék,abraçar,nu-merék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-merek nu- grimpó,abraçar / a.-se mutuamente,numerek nugrimpó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
numnhang,margem,num’nhang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nümperang,cansado,nümperáng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-mpruk,acender,numprúck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
numrik,lontra,num’rik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung got,engolir,nũ gote,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung got nuk,engasgar,nũ gote nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nung gró, nung thuk","sangrar, sangria","nũ gró, nũ tchuk (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung kuong,sacudir,nũ cuoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung merek,dar / d. abraço,nũ merek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung mong,dar / d. pancada,nũ mong,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung nhe-reik,dobrar,nũ nhe-heik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung nhik,"toque, contato",nũ nhik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung nhong,rasgar,nu ‘ngnhoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung nhong,"rasgar, quebrar",núngniong,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nung pak tom thon,"degolar, matar",nũ pak tom tchon’ (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung tir-rak,curar,nũ tir-hak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung-gring,botar fora,nũ-gring,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nung-téi,"beliscar, beliscão",nũ-téi,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nunkró,"furar, espetar",nungcoró,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nunkut,comer,nungcút,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nunthorót,puxar,núntchorót,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-piu,cuspir,nupiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nup-maun,pancada,nup-maun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-pmong,abanar,nu-pmõu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-pók,trancar,nu-pók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"nu-roum, anguin",acabar,"nu-hõume, anguin",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-rut,suspender,nu-hút,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nu-thik,afincar,nu-chik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
nutik,empurrar,nútick,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
nu-tnẽ,cortar,nut-näh,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"nu-tnẽ, umpi-ü",arrebentar,"nu-tnẽh, umpiýh",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
okinhim,custar,okinhime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ókókân,coruja,ócócâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
okré,donde,ocré,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ong,falar,aũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ong,"falar, dizer",ong,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ong jagü,imitar,aũ jagy,= sabe falar,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ong nuk,mudo,aũ nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ong nuk, ton",gago,"aũ nuk, tone",o segundo = fala não ou mal,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ong okinhim,custar / custa falar,aũ okinhime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ong-merong,gritar,ong-merong,"isto é : falar alto, o ng é mal audível","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ong-nuk,mudo,ong-nuck,"nuck de am-nup ou amnuck, a negação","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ong-ong,cantar,ong-ong,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
op,assar / a. na brasa,ôp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
op,assar,op,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
orang,novo,orang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
orang angrü,cantar / c. a moça,orang angrý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"orang, kotâ",moço,"orang, cotâ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
oré,"tirar, remover",oré,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
oré mung,ir / i. embora,oré mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
oré rim,sair,oré hime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"oré-rim, kuju",fugir,"oré-hime, cujú (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
oron,comprido,"orône, V. Longo",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
oron,alto,orón,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
oron,longo,oron,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ororé,coco (outra espécie),ororé,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
orri,anhuma,ohí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"pâ, (pung angrá rang)",lágrima,"pâ, (pung angrá hang ?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pahi,"homem branco, um h.",pa-í,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pahi-iokunang,"mulher branca, uma m.",pá-i-iockunáng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pâkekát,cera,pökekat,ö breve e entre ö e ü,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"paketom kat, ipijakan ketom kat",cera,"paketome cate, ipijacáne ketome cate",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pakiju, rimpmaran",grande,"pakejú, himpmaráne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pakiu, majokom","principal, maioral","pakjú, majocóme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pam, ipijakan,",mel,"pam, ipijacáne,",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pan tokon,marimbondo,pan tocône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pânnhonhõn,"vespa, marimbondo",pangnonion,a entre ä e öng como nh e apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pantang,"todos, tudo",pantã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pantang nungrü,música,pantã nungry,= todos cantam,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pantokon,vespa,pantocône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
parâk,leite,pareuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
parâk,mama,pareuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
parâk,peito / seio,pareuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"parâk jin, jun","bico / b. do peito, seio","pareuk gine, june",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
patak nhép,ficar / f. calado,patak inhép,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
patarâng,jaracatiá,patarâng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pataring-jipakiu,mamão (carica),pattaring- gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
paté,inseto,paté (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
patik,coelho,patik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pauin,embaixo,pawin,quase como aüi,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"paum, um-ing, ruang-ruá",eco,"paumm, um-ĩ, huang-huá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
paü-tupan,padre,paï-tupan,"pan algumas vezes soa como pat. Não seria possível que a palavra paï seja a portuguesa “pai”? Essa observação termina com uma frase incompreensível, da qual deve-se ter perdido algo: This word toch as tho it
had cоme from the Tupi.","Frassetto (2018), Charles Frederick Hartt (1865–1866) "
paü-tupan,adorado entre,paï-tupan,pan frequentemente soa como pat,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pekak,chamar,pecák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pekokrü,boi,pecocrý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pek-rung,antes,pek-hũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pek-rung njóp,antes / bebo a.,pek-hũ ‘njóp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pen,agarrar,"pêne, V. Pegar",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pen, angrak",tomar / apanhar,"pen, ang’rak",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
peroróka,begônia do mato,peroróca,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
perrék,bocejar,pe-hék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pérrék,agonia,pé-hék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
perreng,acender / a. fogo,pe-heĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
petarang tom,bicho / b. de pau podre,petaráng tome,serve de comida ao índio,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pi ‘rerreng,roça / r. bem feita,pi re-heĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pi ton,roça / r. mal feita,pitone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
piep,ver,piep,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pijang,"urina, urinar",píjáng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pijourum, nung merek, (nim thenkeng)",enxugar,"pijourúm, nũ merek, (nime tchenkeng?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pikik, japikik","falar / já falei, não falo mais","pikík, japikík, V. Beiço",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pim,já,pime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pípa karâk,medonho,pipa careuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pipakarâk,feio / muito f.,pipacareuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pirik,mão / m. de pilão,pirik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pitak,brejo,pitác,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pitak,"lago, lagoa",pitác,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó,ferrão / f. do camarão,pó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó,dedo,pó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó,dedo do pé,pó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó,mão,pó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó,pé,pó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó ‘rinhak,unha,pó rinhák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó jeng,mão / m. direita,pógeĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó jin,dedo / d. dos pés,pó gine,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó kat,sapato,pó cáte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó krót,palma da mão,pó crót,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó nhinkang nuk,mão / m. esquerda,pó nhincang nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó pen nuk,pôr / não ponha a mão,pô pen nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó tepü,dedo / d. das mãos,pó tepý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pó, pó tepü",mão,"pó, pótepy",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-ampang,bater palmas,pó-ampáng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-e-‘rék,dedo/ d. polegar,pó-ä-räck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-iopu,dedo/ d. indicador,pó-iopú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"pó-it, pó-üit",rosário,"pó-it, pó-üit",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"pó-it, pó-uüt","colar, coleira","pó-it, pó-uït",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
po-jeut,folha / f. de palmeira,po-jeut,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pô-ju-ün,cabaça,poh-juýne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pok umbá,lambari,pok umbá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pok-‘rorron,maracujá,poc-rô-hone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"poketné, moron",encalhar,"poketnéh, moróne (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pokjâk,açucena,pok-jeuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pokjek,talo,pok-jek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
poknh-dhin-uin,"cuia, prato de mesa",pokn-djinvin,dji como em francês,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
poknhen,jaguatirica,poknien,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pokokrü parâk,queijo,pocokrý pareuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pokokrü thon,canga,pococrý tchone,= pau do boi,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pokoring,jacutinga,pocorini,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pokoring,jacutinga (ave),pó-coling,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kreng-kenat,unha das mãos e pés,pó-cräng-kenat,ken pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kring,"veado, corça",pó-cling,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kring-jipakiu,boi,bocling-gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kring-kudhi,ovelha,pó-cling-cudgi,o l meio como r,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kring-parak,leite,pó-cling-parack,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"pó-kudhi, pó- kruk",dedo/ d. mínimo,"pó-cudgi, pó- cruck",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kupá-kuruk,dedo/ d. anelar,pó-cupa-curúck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-kupá-nhem,dedo/ d. médio,pó-cupa-niem,"talvez pelo seu uso no arco, embora não haja nenhuma prova disso","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-mokenam,"solípede, animal de um casco",pó-moke-nam,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pompâ,amêndoa (de qualquer fruto),pompâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pompâ,dentro,pompâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
põmpa,miolo,pompa,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pong kugü, kuem kugü",rola,"poũ cugý, cuême cugy",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-nhẽp,"pegada, rastro",pó-niep,niep pelo nariz,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pónim-nhit,veia,pónim-gnit,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-nim-nong,tornozelo,pó-nimh-nong,"pronúncia nasal, antes como hn","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ponthâk,coco,pont-cheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ponthâk thon,palmeira,pontcheuk tchone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ponthék-atá,"palmito, broto tenro de palmeira",ponti-äck-atá,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pontheuk,indaiá,pontcheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pontiék,coco selvagem,pontiäck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pont-jâm,caroço de fruta,pont-jâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pont-thâk-pók,cacho de indaiá,pont-cheuk-pók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-pmim,planta do pé,pó-pmim,p quase inaudível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pó-rât,braço / bracelete,po-heut,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-rât,colar / bracelete,po-heute,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-rât,rosário,pó-hâte (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
porün,farinha,poryn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pothâ,calcanhar,potchâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"póthá, pó",pé,"pótchá, pó",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pothik,"mulher, esposa, moça",pochik,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
pothik,raro,potchik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pothik,um,potchík,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"póthik, nhimó knhang","só, sozinho","pótchik, nhimó knhang",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pothik, runuk",único,"potchik, runúk",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-tnhan,calo,pó-tnhane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
potü-juntnham,palmeira / (espécie rorô),potý-juntnháme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
potüm,camarão,potýme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pó-tupók,anel,pó-tupók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pouin,alto,pouin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pouthang,mutum,poutchang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pouü,escada,powy,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pouuik,turbilhão,pouvík,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"pouün jiming, jukupâ",em / e. cima,"pouyn gimĩ, jucupâ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
praĩng,alcançar,praĩg,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pram,oferecer,práme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pram,querer,práme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
prik,formiga,prik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
prik porin tâigü im,estar / as formigas estão carregando a farinha,prik porin tâigý ime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
prik porün tâ igü im,carregar / a formiga está carregando a farinha,prik porýn tâ igy ime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
prik-nék-nék,formiga,pelick-näck- näck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
prokotam,nádega,"procotáme, V. Assento",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
prokrü-thá,bem-te-vi (pássaro),procry-tchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pü,brigar,py,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
puk,chorar,puk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
puk,chorar,puck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pum jaku,pólvora,púm jacú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pum jam,chumbo,pum jame,caroço de espingarda,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pumpat,calar-se / ficar quieto,pumpat,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pung,espingarda,pung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pung-apung,atirar com espingarda,pung-apúng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pung-nhinku,pólvora,pung-gningcú,gn como nh,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pung-ururru,espingarda de dois canos,pung-uruhú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
pürê-reng,bem / b. feito,pyre-heĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
purün,injuriar,purýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pütang132,pernilongo (mosquito),p’táng,"Aqui foram comparadas as formas <p’táng> (CMA), <pötang> (MWN), <pitáng> (T. I. Vanuíre, SP) e <pitang> (RUDOLPH, 1909). Quanto à vogal da primeira sílaba: o apóstrofo de CMA indica uma vogal curta, pouco audível para ele, provavelmente [ɨ]; MWN anota como <ö>, que, para ele, tem o som de [ø], mas indica que “ö [soa] como ü, no palato”, isto é, soa como [ɨ]; os Krenak de Vanuíre, por estarem abandonando a vogal [ɨ], migraram para [i]; e Rudolph, por desconhecer a vogal [ɨ] em sua língua materna e por se tratar de uma vogal de difícil compreensão, a anota como <i>. Por essas razões, optou-se por considerar que a forma original era [ɨ], o que justifica a grafia <ü>.","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
pütang133,mosquito,pötang,"ö como ü, no palato. Ver nota de rodapé em “pernilongo (mosquito)” de CMA.","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rá,sapucaia,há,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rá jinjin,bem / b. maduro,rá gingin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
râk,então,heuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rakân,espinho,hacâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ra-kat,coco / c. de sapucaia,há-cáte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"rak-rirá, prankang",descansar,"hac-hirá, prancang (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rang,rir-se,hang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rang,bater,hang,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
râng,rir,hang,a palatino com ö,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ran-ran,jacu,han-han,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rantong,caruncho,hantoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ranü,adiante,raný,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘râ-‘râ,"tremer, tiritar",reu-reu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ra-ram,"tosse, tossir","ha-háme, V. Catarro",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ra-ra-ran,galinha,ha-ha-han,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ra-ra-ran uarrá,galo,ha-ha-han uáhá,= macho da galinha,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rararat,"cansar-se, cansado",rararát,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rararat,"uru, capoeira (ave)",rararát,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rararat,capoeira (galináceo selvagem),hárarat,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rá-reun,espinha,ha-héune,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘rat,coberta / c. de zinco,rát,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ratarat,arara (papagaio),hátarat,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ratarat-kudhi,anacã (papagaio),hátarat-cudgí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"raué, knu",olá!,"hawé, knú!",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rau-rau,escaldar,hau-hau (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"re, e","ele, ela","hä, ä",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rehe,sim,he-e,os dois e muito breves,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
re-ingerung,dói,hä-ingerung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
